DOI,DOI_research_paper,Publication Date (online),Times cited,Recent citations,Altmetric,FOR (ANZSRC) Categories
10.5334/johd.1,10.1080/03071022.2014.975943,2014-12-13,8.0,3.0,48.0,2103 Historical Studies; 21 History and Archaeology
10.5334/johd.1,10.1080/01615440.2015.1007194,2015-07-16,4.0,0.0,7.0,2103 Historical Studies; 21 History and Archaeology
10.5334/johd.4,10.1353/shq.2015.0000,2015-04-01,2.0,0.0,16.0,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.4,10.22230/src.2014v5n4a187,2014-12-16,4.0,1.0,,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.6,10.16995/olh.82,2016-08-10,6.0,2.0,35.0,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.8,10.1080/13555502.2017.1301178,2017-03-21,2.0,0.0,7.0,"2005 Literary Studies; 20 Language, Communication and Culture; 21 History and Archaeology; 2002 Cultural Studies; 2103 Historical Studies"
10.5334/johd.9,10.3389/frma.2018.00021,2018-07-13,1.0,1.0,27.0,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing
10.5334/johd.13,10.1093/llc/fqz070,2019-10-24,5.0,5.0,7.0,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing
10.5334/johd.13,10.1515/opli-2016-0026,2016-11-02,4.0,2.0,,"2005 Literary Studies; 20 Language, Communication and Culture"
10.5334/johd.12,10.12688/openreseurope.13843.3,2022-03-23,0.0,0.0,,"2004 Linguistics; 20 Language, Communication and Culture"
10.5334/johd.12,10.1075/dia.20009.bod,2021-04-23,4.0,4.0,71.0,"2004 Linguistics; 20 Language, Communication and Culture"
10.5334/johd.14,10.1002/asi.24499,2021-05-26,2.0,2.0,13.0,08 Information and Computing Sciences; 0806 Information Systems
10.5334/johd.14,10.1353/mns.2018.0012,2018-05-11,4.0,3.0,,
10.5334/johd.17,10.3390/informatics7040044,2020-10-15,0.0,0.0,,08 Information and Computing Sciences; 0807 Library and Information Studies; 0806 Information Systems
10.5334/johd.21,10.1371/journal.pone.0236166,2020-07-24,3.0,3.0,116.0,08 Information and Computing Sciences; 0806 Information Systems
10.5334/johd.21,10.1093/jamiaopen/ooab089,2021-10-29,0.0,0.0,4.0,08 Information and Computing Sciences; 0806 Information Systems
10.5334/johd.20,10.17813/1086-671x-24-2-157,2019-06-01,2.0,1.0,12.0,16 Studies in Human Society; 1699 Other Studies In Human Society
10.5334/johd.20,10.4324/9780203728628-7,2018-11-02,2.0,2.0,,
10.5334/johd.22,10.1093/llc/fqab032,2021-11-05,0.0,0.0,6.0,"2004 Linguistics; 20 Language, Communication and Culture"
10.5334/johd.25,10.1515/lingvan-2021-0053,2022-02-22,0.0,0.0,17.0,2103 Historical Studies; 21 History and Archaeology
10.5334/johd.32,10.5334/johd.31,2021-07-05,1.0,1.0,35.0,"2004 Linguistics; 0801 Artificial Intelligence and Image Processing; 20 Language, Communication and Culture; 08 Information and Computing Sciences"
10.5334/johd.35,10.1007/978-3-658-30702-8_7,2020-12-01,1.0,1.0,,
10.5334/johd.49,10.1080/23273798.2018.1552007,2018-12-01,20.0,13.0,12.0,17 Psychology and Cognitive Sciences; 1701 Psychology
10.5334/johd.56,10.1145/3371140.3371143,2019-11-28,1.0,1.0,,09 Engineering; 0909 Geomatic Engineering
10.5334/johd.56,10.1145/3397536.3422236,2020-11-03,2.0,2.0,,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing